Time	Displacement	Forcewasher	Camera A	Camera B
sec	inches	lbf	mm	mm
0.0000E+0	 1.938E+0	 0.000E+0	-3.135E-1	-2.090E-1
2.0000E-5	 1.938E+0	 0.000E+0	-3.096E-1	-2.129E-1
4.0000E-5	 1.938E+0	 0.000E+0	-3.057E-1	-2.148E-1
6.0000E-5	 1.938E+0	 4.883E-1	-3.066E-1	-2.158E-1
8.0000E-5	 1.943E+0	 0.000E+0	-3.018E-1	-2.227E-1
1.0000E-4	 1.938E+0	 0.000E+0	-3.105E-1	-2.100E-1
1.2000E-4	 1.943E+0	 0.000E+0	-3.076E-1	-2.139E-1
1.4000E-4	 1.943E+0	 0.000E+0	-3.076E-1	-2.109E-1
1.6000E-4	 1.943E+0	 0.000E+0	-3.018E-1	-2.148E-1
1.8000E-4	 1.943E+0	 0.000E+0	-3.037E-1	-2.158E-1
2.0000E-4	 1.948E+0	 4.883E-1	-2.979E-1	-2.158E-1
2.2000E-4	 1.948E+0	 0.000E+0	-3.037E-1	-2.139E-1
2.4000E-4	 1.948E+0	-4.883E-1	-3.105E-1	-2.148E-1
2.6000E-4	 1.948E+0	 0.000E+0	-3.115E-1	-2.119E-1
2.8000E-4	 1.948E+0	 0.000E+0	-3.115E-1	-2.119E-1
3.0000E-4	 1.948E+0	 0.000E+0	-3.086E-1	-2.080E-1
3.2000E-4	 1.953E+0	-4.883E-1	-3.027E-1	-2.109E-1
3.4000E-4	 1.953E+0	 0.000E+0	-3.066E-1	-2.090E-1
3.6000E-4	 1.953E+0	 4.883E-1	-3.037E-1	-2.148E-1
3.8000E-4	 1.953E+0	 0.000E+0	-3.057E-1	-2.100E-1
4.0000E-4	 1.953E+0	 0.000E+0	-3.037E-1	-2.109E-1
4.2000E-4	 1.958E+0	-4.883E-1	-3.047E-1	-2.158E-1
4.4000E-4	 1.958E+0	 0.000E+0	-3.076E-1	-2.070E-1
4.6000E-4	 1.958E+0	 4.883E-1	-3.037E-1	-2.109E-1
4.8000E-4	 1.958E+0	 0.000E+0	-3.066E-1	-2.207E-1
5.0000E-4	 1.958E+0	-4.883E-1	-3.066E-1	-2.090E-1
5.2000E-4	 1.958E+0	 0.000E+0	-3.057E-1	-2.109E-1
5.4000E-4	 1.958E+0	 0.000E+0	-3.105E-1	-2.080E-1
5.6000E-4	 1.963E+0	 0.000E+0	-3.086E-1	-2.070E-1
5.8000E-4	 1.963E+0	 0.000E+0	-3.027E-1	-2.109E-1
6.0000E-4	 1.963E+0	 0.000E+0	-3.037E-1	-2.109E-1
6.2000E-4	 1.963E+0	 0.000E+0	-3.027E-1	-2.119E-1
6.4000E-4	 1.968E+0	 0.000E+0	-3.076E-1	-2.100E-1
6.6000E-4	 1.968E+0	 0.000E+0	-3.066E-1	-2.100E-1
6.8000E-4	 1.968E+0	 4.883E-1	-3.018E-1	-2.158E-1
7.0000E-4	 1.968E+0	 0.000E+0	-3.027E-1	-2.217E-1
7.2000E-4	 1.968E+0	 0.000E+0	-3.027E-1	-2.139E-1
7.4000E-4	 1.968E+0	 0.000E+0	-3.047E-1	-2.119E-1
7.6000E-4	 1.968E+0	 0.000E+0	-3.027E-1	-2.148E-1
7.8000E-4	 1.968E+0	 0.000E+0	-3.066E-1	-2.100E-1
8.0000E-4	 1.973E+0	 0.000E+0	-3.027E-1	-2.217E-1
8.2000E-4	 1.973E+0	-4.883E-1	-3.105E-1	-2.100E-1
8.4000E-4	 1.973E+0	 0.000E+0	-3.066E-1	-2.168E-1
8.6000E-4	 1.973E+0	 4.883E-1	-3.037E-1	-2.148E-1
8.8000E-4	 1.973E+0	 0.000E+0	-3.018E-1	-2.158E-1
9.0000E-4	 1.978E+0	 0.000E+0	-3.047E-1	-2.090E-1
9.2000E-4	 1.978E+0	 0.000E+0	-3.096E-1	-2.109E-1
9.4000E-4	 1.978E+0	 4.883E-1	-3.115E-1	-2.080E-1
9.6000E-4	 1.978E+0	 0.000E+0	-3.115E-1	-2.119E-1
9.8000E-4	 1.978E+0	 0.000E+0	-3.037E-1	-2.129E-1
1.0000E-3	 1.978E+0	 0.000E+0	-3.115E-1	-2.129E-1
