Time	Displacement	Forcewasher
sec	inches	lbf
0.0000E+0	 1.934E+0	 0.000E+0
2.0000E-5	 1.934E+0	 4.883E-1
4.0000E-5	 1.934E+0	 4.883E-1
6.0000E-5	 1.934E+0	 0.000E+0
8.0000E-5	 1.934E+0	 0.000E+0
1.0000E-4	 1.934E+0	 0.000E+0
1.2000E-4	 1.934E+0	 4.883E-1
1.4000E-4	 1.938E+0	 4.883E-1
1.6000E-4	 1.938E+0	 4.883E-1
1.8000E-4	 1.938E+0	 0.000E+0
2.0000E-4	 1.938E+0	 0.000E+0
2.2000E-4	 1.938E+0	 4.883E-1
2.4000E-4	 1.938E+0	 0.000E+0
2.6000E-4	 1.938E+0	 0.000E+0
2.8000E-4	 1.943E+0	 0.000E+0
3.0000E-4	 1.943E+0	 0.000E+0
3.2000E-4	 1.943E+0	 4.883E-1
3.4000E-4	 1.943E+0	 4.883E-1
3.6000E-4	 1.943E+0	 0.000E+0
3.8000E-4	 1.943E+0	 0.000E+0
4.0000E-4	 1.948E+0	-4.883E-1
4.2000E-4	 1.948E+0	 0.000E+0
4.4000E-4	 1.948E+0	 4.883E-1
4.6000E-4	 1.948E+0	 0.000E+0
4.8000E-4	 1.953E+0	 0.000E+0
5.0000E-4	 1.948E+0	 0.000E+0
5.2000E-4	 1.948E+0	 0.000E+0
5.4000E-4	 1.953E+0	 0.000E+0
5.6000E-4	 1.953E+0	 0.000E+0
5.8000E-4	 1.953E+0	 0.000E+0
6.0000E-4	 1.953E+0	 0.000E+0
6.2000E-4	 1.953E+0	 0.000E+0
6.4000E-4	 1.953E+0	 0.000E+0
6.6000E-4	 1.958E+0	 0.000E+0
6.8000E-4	 1.958E+0	-4.883E-1
7.0000E-4	 1.958E+0	-4.883E-1
7.2000E-4	 1.958E+0	 0.000E+0
7.4000E-4	 1.958E+0	 0.000E+0
7.6000E-4	 1.958E+0	 0.000E+0
7.8000E-4	 1.963E+0	 0.000E+0
8.0000E-4	 1.963E+0	 0.000E+0
8.2000E-4	 1.958E+0	 4.883E-1
8.4000E-4	 1.963E+0	 0.000E+0
8.6000E-4	 1.963E+0	 0.000E+0
8.8000E-4	 1.968E+0	 0.000E+0
9.0000E-4	 1.963E+0	 0.000E+0
9.2000E-4	 1.963E+0	 4.883E-1
9.4000E-4	 1.968E+0	 0.000E+0
9.6000E-4	 1.968E+0	 0.000E+0
9.8000E-4	 1.968E+0	 0.000E+0
1.0000E-3	 1.973E+0	 0.000E+0
1.0200E-3	 1.968E+0	 4.883E-1
1.0400E-3	 1.973E+0	 0.000E+0
1.0600E-3	 1.973E+0	 0.000E+0
1.0800E-3	 1.973E+0	 0.000E+0
1.1000E-3	 1.973E+0	 0.000E+0
1.1200E-3	 1.973E+0	 0.000E+0
1.1400E-3	 1.973E+0	 0.000E+0
1.1600E-3	 1.973E+0	 0.000E+0
1.1800E-3	 1.978E+0	 0.000E+0
1.2000E-3	 1.978E+0	 0.000E+0
1.2200E-3	 1.978E+0	 4.883E-1
1.2400E-3	 1.978E+0	 0.000E+0
1.2600E-3	 1.978E+0	 0.000E+0
1.2800E-3	 1.982E+0	 0.000E+0
1.3000E-3	 1.982E+0	 0.000E+0
1.3200E-3	 1.978E+0	 4.883E-1
1.3400E-3	 1.982E+0	 0.000E+0
1.3600E-3	 1.982E+0	 0.000E+0
1.3800E-3	 1.982E+0	 0.000E+0
1.4000E-3	 1.987E+0	 0.000E+0
1.4200E-3	 1.982E+0	 0.000E+0
1.4400E-3	 1.987E+0	 0.000E+0
1.4600E-3	 1.987E+0	 0.000E+0
1.4800E-3	 1.987E+0	 0.000E+0
1.5000E-3	 1.992E+0	 4.883E-1
1.5200E-3	 1.987E+0	 0.000E+0
1.5400E-3	 1.992E+0	 0.000E+0
1.5600E-3	 1.992E+0	 0.000E+0
1.5800E-3	 1.992E+0	 0.000E+0
1.6000E-3	 1.992E+0	 0.000E+0
1.6200E-3	 1.992E+0	 0.000E+0
1.6400E-3	 1.992E+0	 0.000E+0
1.6600E-3	 1.997E+0	 0.000E+0
1.6800E-3	 1.997E+0	 0.000E+0
1.7000E-3	 1.997E+0	 0.000E+0
1.7200E-3	 1.997E+0	 0.000E+0
1.7400E-3	 1.997E+0	 0.000E+0
1.7600E-3	 1.997E+0	 0.000E+0
1.7800E-3	 2.002E+0	 0.000E+0
1.8000E-3	 1.997E+0	 4.883E-1
1.8200E-3	 2.002E+0	 4.883E-1
1.8400E-3	 2.002E+0	 0.000E+0
1.8600E-3	 2.002E+0	 0.000E+0
1.8800E-3	 2.002E+0	 0.000E+0
1.9000E-3	 2.002E+0	 4.883E-1
1.9200E-3	 2.002E+0	 4.883E-1
1.9400E-3	 2.007E+0	 4.883E-1
1.9600E-3	 2.007E+0	 0.000E+0
1.9800E-3	 2.007E+0	 0.000E+0
2.0000E-3	 2.007E+0	 0.000E+0
2.0200E-3	 2.007E+0	 0.000E+0
2.0400E-3	 2.012E+0	 0.000E+0
2.0600E-3	 2.012E+0	 0.000E+0
2.0800E-3	 2.012E+0	-4.883E-1
2.1000E-3	 2.012E+0	 0.000E+0
2.1200E-3	 2.012E+0	 4.883E-1
2.1400E-3	 2.012E+0	 0.000E+0
2.1600E-3	 2.017E+0	 0.000E+0
2.1800E-3	 2.017E+0	 0.000E+0
2.2000E-3	 2.012E+0	 4.883E-1
2.2200E-3	 2.017E+0	 4.883E-1
2.2400E-3	 2.017E+0	 0.000E+0
2.2600E-3	 2.017E+0	 0.000E+0
2.2800E-3	 2.017E+0	 0.000E+0
2.3000E-3	 2.017E+0	 4.883E-1
2.3200E-3	 2.021E+0	 4.883E-1
2.3400E-3	 2.021E+0	 0.000E+0
2.3600E-3	 2.021E+0	 0.000E+0
2.3800E-3	 2.021E+0	 0.000E+0
2.4000E-3	 2.021E+0	 4.883E-1
2.4200E-3	 2.021E+0	 0.000E+0
2.4400E-3	 2.026E+0	 0.000E+0
2.4600E-3	 2.026E+0	 0.000E+0
2.4800E-3	 2.026E+0	 0.000E+0
2.5000E-3	 2.026E+0	 0.000E+0
2.5200E-3	 2.026E+0	 4.883E-1
2.5400E-3	 2.026E+0	 0.000E+0
2.5600E-3	 2.026E+0	 0.000E+0
2.5800E-3	 2.026E+0	 0.000E+0
2.6000E-3	 2.026E+0	 4.883E-1
2.6200E-3	 2.031E+0	 4.883E-1
2.6400E-3	 2.031E+0	 0.000E+0
2.6600E-3	 2.031E+0	 0.000E+0
2.6800E-3	 2.031E+0	 0.000E+0
2.7000E-3	 2.031E+0	 4.883E-1
2.7200E-3	 2.031E+0	 4.883E-1
2.7400E-3	 2.036E+0	 0.000E+0
2.7600E-3	 2.036E+0	-4.883E-1
2.7800E-3	 2.036E+0	 0.000E+0
2.8000E-3	 2.036E+0	 4.883E-1
2.8200E-3	 2.036E+0	 4.883E-1
2.8400E-3	 2.041E+0	 0.000E+0
2.8600E-3	 2.041E+0	 0.000E+0
2.8800E-3	 2.041E+0	 0.000E+0
2.9000E-3	 2.041E+0	 0.000E+0
2.9200E-3	 2.041E+0	 0.000E+0
2.9400E-3	 2.046E+0	 0.000E+0
2.9600E-3	 2.041E+0	 0.000E+0
2.9800E-3	 2.041E+0	 0.000E+0
3.0000E-3	 2.041E+0	 4.883E-1
3.0200E-3	 2.046E+0	 0.000E+0
3.0400E-3	 2.046E+0	 0.000E+0
3.0600E-3	 2.046E+0	 0.000E+0
3.0800E-3	 2.051E+0	 0.000E+0
3.1000E-3	 2.046E+0	 0.000E+0
3.1200E-3	 2.046E+0	 4.883E-1
3.1400E-3	 2.051E+0	 0.000E+0
3.1600E-3	 2.051E+0	 4.883E-1
3.1800E-3	 2.051E+0	 0.000E+0
3.2000E-3	 2.051E+0	 0.000E+0
3.2200E-3	 2.051E+0	 0.000E+0
3.2400E-3	 2.056E+0	 0.000E+0
3.2600E-3	 2.056E+0	 0.000E+0
3.2800E-3	 2.056E+0	 0.000E+0
3.3000E-3	 2.056E+0	 4.883E-1
3.3200E-3	 2.056E+0	 4.883E-1
3.3400E-3	 2.056E+0	 4.883E-1
3.3600E-3	 2.061E+0	-4.883E-1
3.3800E-3	 2.061E+0	 0.000E+0
3.4000E-3	 2.061E+0	 4.883E-1
3.4200E-3	 2.061E+0	 0.000E+0
3.4400E-3	 2.065E+0	-4.883E-1
3.4600E-3	 2.061E+0	 0.000E+0
3.4800E-3	 2.065E+0	 0.000E+0
3.5000E-3	 2.065E+0	 0.000E+0
